,user_name,list_count,verified_account,url_count,hashtag_diversity,user_tag_diversity,likes_no,retweet_no,friends_following_ratio,tweet_frequency,lexical_diversity,age_of_account
111,metalband_exe,117,False,0,0,0.0,1074,407,0.999420289855,5.97,0.649546827795,948
112,metropologeny,151,False,7,0,0.0,995,149,0.999138178684,23.19,0.968188105118,302
113,mididittyBOT,10,False,487,0,0.0141592920354,0,1,0.456310679612,8.02,0.26387434555,1048
114,minetweeter_,13,False,0,0,0.0,0,0,0.9,2.11,0.0485651214128,1141
115,lovihatibot,28,False,35,0,0.993442622951,5,819,0.925581395349,6.94,0.399435608004,1707
116,minimazesolver,9,False,0,0,0.00826446280992,39,102,1.0,3.92,0.674897119342,476
117,MinusEveryone,16,False,0,0,0.0,1,0,1.0,0.83,1.0,982
118,moon_rise_bot,41,False,0,0,0.0,4,3,1.0,1.21,1.0,537
119,mnemosynetron,20,False,0,0,1.0,0,0,0.778761061947,0.14,1.0,1464
120,moonshotbot,137,False,121,0,0.0,1410,542,0.999566536628,3.88,0.306989247312,1014
121,mothgenerator,365,False,0,0,0.846153846154,77,19,0.999714720426,8.85,0.666666666667,1096
122,mystic_cookie,1,False,0,0,1.0,0,0,1.0,0.07,1.0,1384
123,nailpolishbot,33,False,0,0,0.0,671,351,0.997797356828,23.89,0.291622026998,383
124,needsref,56,False,0,0,0.0,24,11,1.0,2.92,0.645299145299,991
125,NeonaziWallets,23,False,528,0,0.0,67,90,0.995770392749,11.15,0.176831047563,328
126,nestiles,13,False,0,0,0.0,15,0,1.0,5.93,1.0,606
127,neuralgae,11,False,133,0,0.0,3,1,0.982456140351,5.43,0.43836757357,959
128,nhcbot,14,False,1,0,0.0,0,0,0.978494623656,1.50,0.8,1015
129,nimibotti,7,False,0,0,0.0,0,0,1.0,18.40,1.0,618
130,nixibot,34,False,59,0,0.957777777778,1,393,0.844522968198,9.25,0.38937691522,1619
131,nmstereo,14,False,0,0,1.0,0,0,0.614457831325,2.35,1.0,3109
132,notyorker,17,False,1,0,1.0,0,0,0.978947368421,1.52,0.95652173913,1046
133,NYPLEmoji,106,False,51,0,0.405405405405,18,6,0.996365398595,22.87,0.812949640288,759
